id,ano,desempenho,nota_final,promocao
55,2021,Médio,8.3,0
55,2022,Baixo,7.9,0
55,2023,Alto,7.4,0
56,2019,Baixo,6.1,0
56,2020,Alto,7.6,0
56,2021,Baixo,8.9,0
56,2022,Alto,7.4,0
56,2023,Médio,8.9,0
57,2019,Baixo,4.9,0
57,2020,Alto,9.9,1
57,2021,Baixo,4.6,0
57,2022,Baixo,9.1,0
57,2023,Médio,9.1,0
58,2019,Alto,4.6,0
58,2020,Alto,6.8,0
58,2021,Alto,6.4,0
58,2022,Médio,10.0,0
58,2023,Alto,6.5,0
59,2019,Médio,4.4,0
59,2020,Médio,6.8,0
59,2021,Alto,8.0,0
59,2022,Alto,4.7,0
59,2023,Alto,6.4,0
60,2019,Médio,4.6,0
60,2020,Alto,7.3,0
60,2021,Médio,8.1,0
60,2022,Alto,4.1,0
60,2023,Alto,8.7,1
61,2019,Baixo,4.3,0
61,2020,Médio,4.5,0
61,2021,Baixo,8.4,0
61,2022,Médio,6.4,0
61,2023,Médio,7.0,0
62,2019,Alto,8.5,1
62,2020,Baixo,6.4,0
62,2021,Médio,8.9,0
62,2022,Médio,7.4,0
62,2023,Médio,9.1,0
63,2019,Baixo,8.2,0
63,2020,Médio,9.3,0
63,2021,Médio,9.1,0
63,2022,Médio,6.7,0
63,2023,Alto,4.2,0
64,2019,Médio,5.8,0
64,2020,Médio,5.5,0
64,2021,Médio,4.3,0
64,2022,Médio,9.6,0
64,2023,Baixo,9.8,0
65,2019,Baixo,6.0,0
65,2020,Médio,8.9,0
65,2021,Alto,4.9,0
65,2022,Médio,9.2,0
65,2023,Médio,5.8,0
66,2019,Médio,7.3,0
66,2020,Alto,5.5,0
66,2021,Baixo,9.7,0
66,2022,Baixo,6.3,0
66,2023,Alto,9.8,1
67,2019,Alto,8.0,0
67,2020,Médio,5.7,0
67,2021,Alto,9.0,1
67,2022,Médio,4.8,0
67,2023,Alto,6.1,0
68,2019,Alto,7.9,0
68,2020,Médio,8.1,0
68,2021,Alto,8.8,1
68,2022,Alto,6.1,0
68,2023,Médio,10.0,0
69,2019,Alto,5.3,0
69,2020,Médio,6.6,0
69,2021,Baixo,4.6,0
69,2022,Médio,5.2,0
69,2023,Médio,6.5,0
70,2019,Alto,6.0,0
70,2020,Médio,5.0,0
70,2021,Baixo,9.3,0
70,2022,Alto,8.8,1
70,2023,Alto,6.7,0
71,2019,Médio,6.5,0
71,2020,Baixo,8.1,0
71,2021,Alto,8.4,0
71,2022,Baixo,8.0,0
71,2023,Médio,7.8,0
72,2019,Alto,6.3,0
72,2020,Alto,5.2,0
72,2021,Médio,4.2,0
72,2022,Alto,9.6,1
72,2023,Alto,7.7,0
73,2019,Médio,5.4,0
73,2020,Médio,4.7,0
73,2021,Médio,9.5,0
73,2022,Alto,9.1,1
73,2023,Baixo,5.8,0
74,2019,Baixo,8.4,0
74,2020,Alto,9.5,1
74,2021,Alto,4.9,0
74,2022,Alto,6.2,0
74,2023,Médio,7.9,0
75,2019,Médio,5.5,0
75,2020,Médio,10.0,0
75,2021,Alto,6.1,0
75,2022,Médio,8.6,0
75,2023,Médio,7.8,0
76,2019,Alto,9.6,1
76,2020,Alto,7.9,0
76,2021,Médio,4.1,0
76,2022,Médio,7.7,0
76,2023,Alto,7.2,0
77,2019,Alto,8.4,0
77,2020,Baixo,4.6,0
77,2021,Baixo,9.3,0
77,2022,Alto,7.0,0
77,2023,Alto,9.7,1
78,2019,Baixo,6.3,0
78,2020,Baixo,9.9,0
78,2021,Médio,5.4,0
78,2022,Alto,4.3,0
78,2023,Alto,8.4,0
79,2019,Médio,5.0,0
79,2020,Médio,8.9,0
79,2021,Médio,7.1,0
79,2022,Alto,6.0,0
79,2023,Alto,9.3,1
80,2019,Alto,4.1,0
80,2020,Médio,5.9,0
80,2021,Alto,5.5,0
80,2022,Baixo,6.6,0
80,2023,Baixo,5.7,0
81,2019,Baixo,4.3,0
81,2020,Médio,8.8,0
81,2021,Alto,5.8,0
81,2022,Alto,8.1,0
81,2023,Alto,9.0,1
82,2019,Baixo,6.1,0
82,2020,Baixo,6.0,0
82,2021,Baixo,6.9,0
82,2022,Baixo,6.4,0
82,2023,Baixo,8.8,0
83,2019,Baixo,5.0,0
83,2020,Médio,6.1,0
83,2021,Alto,6.9,0
83,2022,Alto,7.8,0
83,2023,Alto,8.0,0
84,2019,Médio,6.7,0
84,2020,Alto,6.3,0
84,2021,Médio,9.7,0
84,2022,Baixo,5.3,0
84,2023,Médio,5.1,0
85,2019,Alto,10.0,1
85,2020,Alto,6.5,0
85,2021,Médio,5.2,0
85,2022,Alto,4.7,0
85,2023,Alto,7.0,0
86,2019,Alto,7.9,0
86,2020,Alto,4.7,0
86,2021,Médio,5.5,0
86,2022,Médio,9.2,0
86,2023,Médio,6.8,0
87,2019,Baixo,8.0,0
87,2020,Baixo,7.6,0
87,2021,Alto,4.6,0
87,2022,Médio,6.2,0
87,2023,Alto,5.4,0
88,2019,Médio,8.8,0
88,2020,Alto,4.4,0
88,2021,Alto,5.6,0
88,2022,Médio,9.6,0
88,2023,Médio,9.1,0
89,2019,Alto,9.3,1
89,2020,Baixo,8.1,0
89,2021,Médio,4.6,0
89,2022,Alto,7.9,0
89,2023,Alto,8.3,0
90,2019,Alto,8.4,0
90,2020,Médio,8.3,0
90,2021,Baixo,9.3,0
90,2022,Alto,7.1,0
90,2023,Alto,6.8,0
91,2019,Alto,6.1,0
91,2020,Médio,8.8,0
91,2021,Alto,7.9,0
91,2022,Baixo,8.5,0
91,2023,Alto,7.0,0
92,2019,Médio,4.3,0
92,2020,Médio,6.4,0
92,2021,Alto,4.6,0
92,2022,Médio,6.2,0
92,2023,Alto,5.1,0
93,2019,Alto,9.2,1
93,2020,Baixo,9.5,0
93,2021,Baixo,7.3,0
93,2022,Médio,5.5,0
93,2023,Médio,9.5,0
94,2019,Médio,8.2,0
94,2020,Médio,7.1,0
94,2021,Médio,9.9,0
94,2022,Alto,9.1,1
94,2023,Alto,6.4,0
95,2019,Médio,5.0,0
95,2020,Alto,7.8,0
95,2021,Baixo,6.8,0
95,2022,Médio,8.8,0
95,2023,Médio,6.6,0
96,2019,Alto,4.0,0
96,2020,Baixo,7.9,0
96,2021,Alto,8.4,0
96,2022,Médio,8.7,0
96,2023,Alto,8.2,0
97,2019,Alto,6.3,0
97,2020,Médio,7.1,0
97,2021,Médio,6.9,0
97,2022,Alto,6.1,0
97,2023,Alto,6.7,0
98,2019,Alto,5.4,0
98,2020,Baixo,9.0,0
98,2021,Baixo,6.5,0
98,2022,Alto,8.9,1
98,2023,Médio,6.6,0
99,2019,Alto,7.9,0
99,2020,Médio,6.7,0
99,2021,Alto,7.4,0
99,2022,Alto,7.4,0
99,2023,Alto,5.1,0
100,2019,Alto,4.4,0
100,2020,Baixo,7.1,0
100,2021,Baixo,6.8,0
100,2022,Alto,9.6,1
100,2023,Alto,9.7,1
101,2019,Médio,4.1,0
101,2020,Alto,8.5,1
101,2021,Alto,5.8,0
101,2022,Baixo,6.0,0
101,2023,Médio,9.4,0
102,2019,Baixo,7.3,0
102,2020,Alto,4.6,0
102,2021,Médio,8.2,0
102,2022,Alto,9.0,1
102,2023,Alto,8.9,1
103,2019,Alto,8.2,0
103,2020,Médio,6.7,0
103,2021,Médio,6.6,0
103,2022,Médio,8.6,0
103,2023,Médio,7.9,0
104,2019,Médio,8.5,0
104,2020,Médio,9.6,0
104,2021,Alto,6.9,0
104,2022,Médio,7.5,0
104,2023,Médio,9.7,0
105,2019,Médio,8.7,0
105,2020,Médio,4.4,0
105,2021,Alto,7.2,0
105,2022,Alto,6.2,0
105,2023,Alto,8.2,0
106,2019,Alto,8.4,0
106,2020,Baixo,4.7,0
106,2021,Baixo,9.9,0
106,2022,Baixo,5.1,0
106,2023,Alto,7.0,0
107,2019,Alto,5.4,0
107,2020,Alto,8.0,0
107,2021,Alto,9.7,1
107,2022,Médio,6.2,0
107,2023,Médio,7.6,0
108,2019,Alto,8.2,0
108,2020,Médio,9.2,0
108,2021,Médio,6.8,0
108,2022,Médio,6.5,0
108,2023,Médio,5.1,0
109,2019,Alto,8.4,0
109,2020,Baixo,8.5,0
109,2021,Médio,8.8,0
109,2022,Alto,8.8,1
109,2023,Alto,8.1,0
110,2019,Médio,4.8,0
110,2020,Alto,8.2,0
110,2021,Médio,8.1,0
110,2022,Médio,8.5,0
110,2023,Alto,8.4,0
111,2019,Alto,5.5,0
111,2020,Baixo,8.5,0
111,2021,Médio,7.2,0
111,2022,Alto,7.2,0
111,2023,Baixo,5.2,0
112,2019,Médio,8.9,0
112,2020,Alto,9.2,1
112,2021,Médio,6.6,0
112,2022,Baixo,4.0,0
112,2023,Baixo,5.1,0
113,2019,Médio,4.6,0
113,2020,Médio,9.3,0
113,2021,Baixo,5.7,0
113,2022,Baixo,7.7,0
113,2023,Baixo,9.0,0
114,2019,Alto,8.1,0
114,2020,Médio,9.7,0
114,2021,Alto,8.6,1
114,2022,Médio,6.6,0
114,2023,Médio,7.4,0
115,2019,Médio,6.1,0
115,2020,Médio,7.0,0
115,2021,Baixo,6.3,0
115,2022,Alto,5.3,0
115,2023,Alto,7.2,0
116,2019,Alto,5.4,0
116,2020,Médio,5.4,0
116,2021,Baixo,4.8,0
116,2022,Alto,6.9,0
116,2023,Alto,6.4,0
117,2019,Médio,9.1,0
117,2020,Alto,9.6,1
117,2021,Baixo,8.2,0
117,2022,Alto,7.0,0
117,2023,Alto,8.0,0
118,2019,Médio,6.9,0
118,2020,Médio,7.8,0
118,2021,Médio,5.4,0
118,2022,Baixo,9.5,0
118,2023,Alto,9.6,1
119,2019,Alto,9.6,1
119,2020,Médio,9.1,0
119,2021,Médio,5.2,0
119,2022,Alto,7.8,0
119,2023,Alto,8.1,0
120,2019,Médio,4.1,0
120,2020,Médio,5.3,0
120,2021,Médio,8.0,0
120,2022,Médio,4.8,0
120,2023,Baixo,7.0,0
121,2019,Baixo,4.6,0
121,2020,Alto,9.2,1
121,2021,Alto,6.9,0
121,2022,Alto,8.9,1
121,2023,Baixo,4.1,0
122,2019,Médio,6.7,0
122,2020,Baixo,5.8,0
122,2021,Alto,6.0,0
122,2022,Alto,7.0,0
122,2023,Médio,6.8,0
123,2019,Alto,4.8,0
123,2020,Alto,5.7,0
123,2021,Baixo,4.1,0
123,2022,Alto,9.6,1
123,2023,Médio,6.9,0
124,2019,Médio,6.3,0
124,2020,Alto,8.9,1
124,2021,Alto,9.5,1
124,2022,Médio,4.5,0
124,2023,Alto,5.6,0
125,2019,Alto,9.5,1
125,2020,Baixo,8.8,0
125,2021,Médio,7.6,0
125,2022,Alto,8.5,1
125,2023,Médio,6.6,0
126,2019,Baixo,9.0,0
126,2020,Baixo,7.1,0
126,2021,Alto,6.3,0
126,2022,Baixo,9.6,0
126,2023,Alto,6.5,0
127,2019,Médio,8.8,0
127,2020,Médio,4.3,0
127,2021,Baixo,6.3,0
127,2022,Baixo,8.0,0
127,2023,Alto,9.3,1
128,2019,Alto,5.0,0
128,2020,Médio,8.5,0
128,2021,Alto,5.3,0
128,2022,Alto,8.7,1
128,2023,Médio,6.4,0
129,2019,Baixo,7.4,0
129,2020,Baixo,5.9,0
129,2021,Baixo,6.8,0
129,2022,Médio,4.3,0
129,2023,Alto,4.4,0
130,2019,Alto,5.5,0
130,2020,Alto,9.0,1
130,2021,Baixo,7.4,0
130,2022,Médio,8.9,0
130,2023,Baixo,6.3,0
131,2019,Alto,6.7,0
131,2020,Médio,4.5,0
131,2021,Baixo,5.8,0
131,2022,Médio,8.1,0
131,2023,Alto,4.2,0
132,2019,Médio,9.3,0
132,2020,Médio,7.3,0
132,2021,Alto,5.7,0
132,2022,Alto,5.3,0
132,2023,Alto,8.3,0
133,2019,Alto,4.8,0
133,2020,Médio,5.8,0
133,2021,Alto,5.4,0
133,2022,Médio,5.3,0
133,2023,Médio,8.2,0
134,2019,Alto,5.8,0
134,2020,Médio,6.5,0
134,2021,Alto,6.6,0
134,2022,Médio,8.2,0
134,2023,Médio,4.3,0
135,2019,Alto,4.2,0
135,2020,Alto,9.1,1
135,2021,Baixo,7.1,0
135,2022,Médio,8.8,0
135,2023,Médio,9.3,0
136,2019,Baixo,8.4,0
136,2020,Alto,6.3,0
136,2021,Médio,6.2,0
136,2022,Médio,9.3,0
136,2023,Baixo,8.3,0
137,2019,Alto,4.6,0
137,2020,Alto,6.0,0
137,2021,Médio,5.6,0
137,2022,Alto,8.7,1
137,2023,Alto,4.1,0
138,2019,Médio,7.6,0
138,2020,Alto,4.5,0
138,2021,Alto,6.8,0
138,2022,Alto,8.4,0
138,2023,Baixo,8.8,0
139,2019,Alto,9.0,1
139,2020,Médio,5.1,0
139,2021,Médio,8.5,0
139,2022,Alto,7.6,0
139,2023,Baixo,6.8,0
140,2019,Médio,4.3,0
140,2020,Alto,8.2,0
140,2021,Alto,6.9,0
140,2022,Alto,4.9,0
140,2023,Médio,9.1,0
141,2019,Alto,8.5,1
141,2020,Médio,6.8,0
141,2021,Baixo,4.8,0
141,2022,Alto,9.8,1
141,2023,Médio,4.2,0
142,2019,Médio,4.2,0
142,2020,Baixo,8.5,0
142,2021,Baixo,7.0,0
142,2022,Médio,8.6,0
142,2023,Médio,8.6,0
143,2019,Médio,5.1,0
143,2020,Médio,4.7,0
143,2021,Médio,5.5,0
143,2022,Alto,7.0,0
143,2023,Alto,6.1,0
144,2019,Médio,5.1,0
144,2020,Alto,10.0,1
144,2021,Alto,4.5,0
144,2022,Médio,6.8,0
144,2023,Baixo,9.0,0
145,2019,Médio,6.5,0
145,2020,Alto,7.9,0
145,2021,Médio,9.7,0
145,2022,Alto,6.8,0
145,2023,Alto,6.3,0
146,2019,Alto,8.7,1
146,2020,Baixo,7.8,0
146,2021,Baixo,9.1,0
146,2022,Médio,7.2,0
146,2023,Médio,6.1,0
147,2019,Médio,4.4,0
147,2020,Médio,7.4,0
147,2021,Médio,6.9,0
147,2022,Médio,5.2,0
147,2023,Médio,4.2,0
148,2019,Alto,7.4,0
148,2020,Baixo,9.0,0
148,2021,Médio,4.6,0
148,2022,Alto,7.0,0
148,2023,Médio,9.6,0
149,2019,Baixo,9.9,0
149,2020,Baixo,7.4,0
149,2021,Médio,8.5,0
149,2022,Alto,5.8,0
149,2023,Baixo,4.1,0
150,2019,Baixo,4.5,0
150,2020,Alto,8.8,1
150,2021,Baixo,4.3,0
150,2022,Alto,6.4,0
150,2023,Baixo,5.5,0
151,2019,Baixo,8.5,0
151,2020,Médio,7.9,0
151,2021,Médio,8.0,0
151,2022,Alto,7.8,0
151,2023,Médio,8.2,0
152,2019,Alto,9.1,1
152,2020,Alto,4.8,0
152,2021,Médio,8.1,0
152,2022,Alto,7.0,0
152,2023,Médio,7.0,0
153,2019,Alto,7.6,0
153,2020,Alto,6.5,0
153,2021,Alto,6.0,0
153,2022,Alto,8.6,1
153,2023,Alto,5.1,0
154,2019,Alto,9.3,1
154,2020,Baixo,5.1,0
154,2021,Médio,6.3,0
154,2022,Baixo,5.7,0
154,2023,Médio,5.3,0
155,2019,Médio,5.2,0
155,2020,Alto,4.1,0
155,2021,Médio,4.4,0
155,2022,Alto,7.9,0
155,2023,Médio,7.6,0
156,2019,Médio,5.5,0
156,2020,Baixo,4.3,0
156,2021,Baixo,4.3,0
156,2022,Alto,7.3,0
156,2023,Alto,4.8,0
157,2019,Médio,7.1,0
157,2020,Alto,5.4,0
157,2021,Baixo,7.8,0
157,2022,Médio,7.8,0
157,2023,Médio,8.2,0
158,2019,Médio,9.9,0
158,2020,Médio,5.2,0
158,2021,Alto,5.3,0
158,2022,Médio,7.5,0
158,2023,Alto,6.2,0
159,2019,Baixo,4.9,0
159,2020,Baixo,8.9,0
159,2021,Médio,5.2,0
159,2022,Médio,7.1,0
159,2023,Médio,7.7,0
160,2019,Médio,7.6,0
160,2020,Alto,8.5,1
160,2021,Médio,6.0,0
160,2022,Médio,9.5,0
160,2023,Alto,8.0,0
161,2019,Médio,8.1,0
161,2020,Alto,7.6,0
161,2021,Médio,4.5,0
161,2022,Baixo,4.8,0
161,2023,Alto,4.2,0
162,2019,Médio,4.4,0
162,2020,Alto,8.5,1
162,2021,Baixo,7.7,0
162,2022,Médio,6.0,0
162,2023,Médio,7.6,0
163,2019,Alto,5.1,0
163,2020,Alto,8.1,0
163,2021,Alto,9.5,1
163,2022,Alto,9.6,1
163,2023,Alto,4.9,0
164,2019,Alto,9.7,1
164,2020,Alto,9.0,1
164,2021,Médio,9.2,0
164,2022,Médio,7.0,0
164,2023,Médio,8.7,0
165,2019,Médio,7.8,0
165,2020,Médio,7.0,0
165,2021,Baixo,4.6,0
165,2022,Alto,6.1,0
165,2023,Médio,5.6,0
166,2019,Médio,6.4,0
166,2020,Baixo,4.7,0
166,2021,Médio,7.2,0
166,2022,Médio,5.3,0
166,2023,Baixo,9.6,0
167,2019,Médio,4.9,0
167,2020,Baixo,6.1,0
167,2021,Médio,5.4,0
167,2022,Alto,8.6,1
167,2023,Médio,6.6,0
168,2019,Médio,5.0,0
168,2020,Médio,7.6,0
168,2021,Médio,7.6,0
168,2022,Baixo,4.6,0
168,2023,Alto,5.4,0
169,2019,Médio,8.2,0
169,2020,Alto,6.0,0
169,2021,Médio,6.1,0
169,2022,Médio,5.8,0
169,2023,Alto,9.8,1
170,2019,Alto,9.3,1
170,2020,Médio,8.5,0
170,2021,Médio,7.1,0
170,2022,Baixo,8.8,0
170,2023,Alto,9.6,1
171,2019,Alto,9.0,1
171,2020,Médio,7.5,0
171,2021,Alto,6.2,0
171,2022,Alto,7.4,0
171,2023,Alto,8.6,1
172,2019,Médio,8.3,0
172,2020,Alto,10.0,1
172,2021,Alto,5.9,0
172,2022,Alto,7.0,0
172,2023,Médio,9.0,0
173,2019,Alto,4.1,0
173,2020,Alto,7.1,0
173,2021,Médio,5.3,0
173,2022,Médio,7.5,0
173,2023,Baixo,4.1,0
174,2019,Médio,9.9,0
174,2020,Médio,4.4,0
174,2021,Médio,6.7,0
174,2022,Alto,7.7,0
174,2023,Médio,6.8,0
175,2019,Alto,7.8,0
175,2020,Alto,5.8,0
175,2021,Alto,8.7,1
175,2022,Médio,7.0,0
175,2023,Alto,6.5,0
176,2019,Médio,5.8,0
176,2020,Médio,6.4,0
176,2021,Médio,8.9,0
176,2022,Baixo,6.8,0
176,2023,Alto,8.3,0
177,2019,Alto,6.1,0
177,2020,Médio,9.7,0
177,2021,Baixo,7.9,0
177,2022,Alto,8.4,0
177,2023,Médio,6.0,0
178,2019,Baixo,7.1,0
178,2020,Médio,5.3,0
178,2021,Alto,5.8,0
178,2022,Alto,5.3,0
178,2023,Baixo,5.1,0
179,2019,Médio,8.4,0
179,2020,Alto,4.6,0
179,2021,Alto,5.0,0
179,2022,Alto,9.6,1
179,2023,Médio,8.2,0
180,2019,Médio,8.1,0
180,2020,Médio,7.9,0
180,2021,Baixo,6.4,0
180,2022,Alto,6.7,0
180,2023,Alto,9.4,1
181,2019,Médio,8.8,0
181,2020,Baixo,7.2,0
181,2021,Baixo,9.4,0
181,2022,Médio,7.0,0
181,2023,Alto,7.7,0
182,2019,Alto,4.7,0
182,2020,Médio,7.5,0
182,2021,Médio,5.7,0
182,2022,Baixo,6.5,0
182,2023,Médio,6.2,0
183,2019,Alto,9.9,1
183,2020,Alto,5.0,0
183,2021,Alto,5.5,0
183,2022,Alto,6.0,0
183,2023,Médio,6.0,0
184,2019,Baixo,7.8,0
184,2020,Alto,4.3,0
184,2021,Alto,5.8,0
